SecondaryStoreID	StoreName	DateOfBusiness	TotalSales	Count_TC	Salestype_Ctg	Region
6701001	1 Utama	2025-03-01	7408	203	DINE IN	SELANGOR
6701001	1 Utama	2025-03-01	168	6	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-01	131	4	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-01		1	NONE	SELANGOR
6701001	1 Utama	2025-03-01	1536	46	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-02	1441	41	DINE IN	SELANGOR
6701001	1 Utama	2025-03-02	27	1	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-02	333	5	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-02		2	NONE	SELANGOR
6701001	1 Utama	2025-03-02	515	21	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-03	1124	34	DINE IN	SELANGOR
6701001	1 Utama	2025-03-03	66	3	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-03	256	6	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-03		1	NONE	SELANGOR
6701001	1 Utama	2025-03-03	305	16	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-04	462	14	DINE IN	SELANGOR
6701001	1 Utama	2025-03-04	96	3	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-04	339	10	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-04	611	23	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-05	1204	41	DINE IN	SELANGOR
6701001	1 Utama	2025-03-05	392	11	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-05	290	10	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-05	593	24	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-06	857	36	DINE IN	SELANGOR
6701001	1 Utama	2025-03-06	183	7	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-06	223	6	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-06	822	32	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-07	1554	52	DINE IN	SELANGOR
6701001	1 Utama	2025-03-07	242	6	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-07	59	2	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-07		1	NONE	SELANGOR
6701001	1 Utama	2025-03-07	523	23	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-08	2119	56	DINE IN	SELANGOR
6701001	1 Utama	2025-03-08	309	9	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-08	133	4	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-08		2	NONE	SELANGOR
6701001	1 Utama	2025-03-08	1335	46	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-09	2453	74	DINE IN	SELANGOR
6701001	1 Utama	2025-03-09	434	11	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-09	276	7	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-09	1983	63	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-10	1583	51	DINE IN	SELANGOR
6701001	1 Utama	2025-03-10	78	3	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-10	715	29	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-11	1534	39	DINE IN	SELANGOR
6701001	1 Utama	2025-03-11	82	3	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-11	267	7	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-11		1	NONE	SELANGOR
6701001	1 Utama	2025-03-11	595	21	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-12	996	27	DINE IN	SELANGOR
6701001	1 Utama	2025-03-12	424	13	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-12		1	NONE	SELANGOR
6701001	1 Utama	2025-03-12	1530	49	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-13	1018	39	DINE IN	SELANGOR
6701001	1 Utama	2025-03-13	19	1	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-13	263	8	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-13		1	NONE	SELANGOR
6701001	1 Utama	2025-03-13	913	26	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-14	2334	52	DINE IN	SELANGOR
6701001	1 Utama	2025-03-14	26	1	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-14	266	7	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-14		1	NONE	SELANGOR
6701001	1 Utama	2025-03-14	656	25	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-15	3393	92	DINE IN	SELANGOR
6701001	1 Utama	2025-03-15	197	5	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-15	387	9	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-15	1289	39	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-16	2963	81	DINE IN	SELANGOR
6701001	1 Utama	2025-03-16	115	4	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-16	138	3	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-16	1703	57	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-17	1541	53	DINE IN	SELANGOR
6701001	1 Utama	2025-03-17	16	1	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-17	125	5	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-17	911	38	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-18	2958	76	DINE IN	SELANGOR
6701001	1 Utama	2025-03-18	159	3	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-18	379	11	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-18	1161	46	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-19	1531	47	DINE IN	SELANGOR
6701001	1 Utama	2025-03-19	47	2	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-19	349	12	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-19	828	36	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-20	1626	50	DINE IN	SELANGOR
6701001	1 Utama	2025-03-20	99	3	FOOD PANDA	SELANGOR
6701001	1 Utama	2025-03-20	333	8	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-20	641	25	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-21	2376	79	DINE IN	SELANGOR
6701001	1 Utama	2025-03-21	264	8	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-21	800	26	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-22	3294	90	DINE IN	SELANGOR
6701001	1 Utama	2025-03-22	217	6	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-22	1400	46	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-23	3115	91	DINE IN	SELANGOR
6701001	1 Utama	2025-03-23	340	8	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-23		8	NONE	SELANGOR
6701001	1 Utama	2025-03-23	2049	61	TAKE AWAY	SELANGOR
6701001	1 Utama	2025-03-24	1388	42	DINE IN	SELANGOR
6701001	1 Utama	2025-03-24	513	16	GRAB FOOD	SELANGOR
6701001	1 Utama	2025-03-24	1207	40	TAKE AWAY	SELANGOR
6701002	Berjaya Times Square	2025-03-01	8804	251	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-01	710	19	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-01	826	18	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-01		11	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-01	1946	64	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-02	2042	63	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-02	210	7	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-02	167	6	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-02		14	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-02	1490	52	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-03	1583	64	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-03	1265	32	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-03	592	19	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-03		16	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-03	1353	42	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-04	1572	56	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-04	1096	29	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-04	695	16	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-04		13	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-04	1084	44	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-05	2627	88	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-05	1075	29	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-05	1010	21	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-05		16	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-05	1170	47	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-06	1736	55	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-06	1114	28	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-06	519	15	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-06		16	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-06	1226	43	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-07	2299	83	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-07	1384	38	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-07	849	24	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-07	1432	53	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-08	4181	121	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-08	1277	35	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-08	995	20	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-08		13	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-08	3074	101	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-09	4288	129	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-09	1145	29	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-09	916	14	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-09		16	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-09	3300	120	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-10	3023	87	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-10	642	18	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-10	1133	22	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-10		18	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-10	1713	61	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-11	2546	87	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-11	601	15	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-11	431	13	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-11		15	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-11	1311	53	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-12	2553	82	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-12	596	14	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-12	929	22	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-12		1	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-12	1261	50	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-13	2985	76	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-13	615	15	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-13	1112	31	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-13		16	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-13	1644	59	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-14	3218	90	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-14	801	23	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-14	727	18	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-14		16	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-14	1661	55	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	3944	113	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	988	22	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	1208	30	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15		1	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-15	2945	95	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	3856	116	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	627	16	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	916	20	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16		11	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-16	4070	131	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	2882	81	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	370	11	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	696	21	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-17	2514	84	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	3962	116	DINE IN	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	822	22	FOOD PANDA	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	1069	24	GRAB FOOD	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18		12	NONE	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-18	3452	110	TAKE AWAY	FEDERAL TERRITORY
6701002	Berjaya Times Square	2025-03-19	2516	75	DINE IN	FEDERAL TERRITORY
